generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1500000,Olyras,Mechanitis,61.7031,0.265607,-0.0741332,0.00225074,0
1500000,Lyela,Steroma,41.6347,0.349789,-0.0644623,0.00117484,0
1520000,Libythea,Olyras,0,0.272471,-0.0271243,0.000527561,0
1520000,Hyposcada,Epityches,68.7005,0.781562,-0.164976,0.0129752,0
1520000,Lyela,Steroma,39.2606,0.413737,-0.0643325,0.0015158,0
1540000,Libythea,Olyras,0,0.227912,-0.0241656,0.00391527,0
1540000,Olyras,Hyposcada,63.225,0.394926,-0.0855874,0.0376901,0
1540000,Lyela,Narope,28.9045,0.728803,-0.0626034,0.00276456,0
1560000,Libythea,Olyras,0,0.24605,-0.0274055,0.00133805,0
1560000,Olyras,Mechanitis,61.2739,0.328718,-0.0773137,0.00329385,0
1560000,Calinaga,NA,35.0861,0.161819,0.095097,0.331176,0
1560000,Lyela,Steroma,38.8853,0.586145,-0.0751102,0.00329425,0
1580000,Libythea,Olyras,0,0.242964,-0.0262349,0.000879497,0
1580000,Olyras,Hyposcada,61.8686,0.514359,-0.1037,0.0247222,0
1580000,Lyela,Steroma,40.934,0.504852,-0.0753782,0.00100686,0
1600000,Libythea,Olyras,0,0.203227,-0.0228153,0.00179602,0
1600000,Olyras,Mechanitis,61.5282,0.493023,-0.109945,0.00405059,0
1600000,Lyela,Steroma,42.031,0.53123,-0.0749762,0.0125422,0
1620000,Libythea,Olyras,0,0.199101,-0.0242392,0.000570756,0
1620000,Olyras,Mechanitis,61.6965,0.552487,-0.0941353,0.0282506,0
1620000,Lyela,Narope,30.7348,0.603541,-0.0603365,0.00579782,0
1640000,Libythea,Olyras,0,0.25498,-0.0280673,0.00146958,0
1640000,Olyras,Mechanitis,60.4143,0.479248,-0.0989179,0.00188377,0
1640000,Pseudoneptis,NA,59.5526,0.094035,-0.107482,0.0216561,0
1640000,Lyela,Narope,30.7479,0.449105,-0.0553717,1.78145e-05,0
1660000,Libythea,Olyras,0,0.24126,-0.0249346,0.00112977,0
1660000,Olyras,Mechanitis,61.1022,0.598748,-0.110723,0.0323157,0
1660000,Lyela,Narope,30.6911,0.48778,-0.0570147,0.00344797,0
1680000,Libythea,Olyras,0,0.253514,-0.0251709,0.00661844,0
1680000,Olyras,Hyposcada,62.25,0.715505,-0.120827,0.0348349,0
1680000,Lyela,Steroma,35.4252,0.75522,-0.0719369,0.00415596,0
1700000,Libythea,Olyras,0,0.22109,-0.0200656,0.016979,0
1700000,Olyras,Hyposcada,63.1624,0.394334,-0.0850761,0.01539,0
1700000,Calisto,NA,66.7945,0.595221,-0.0450567,0.36209,0
1700000,Lyela,Narope,30.7896,0.587692,-0.0613099,0.000670519,0
1720000,Libythea,Olyras,0,0.156844,-0.0216605,0.000350455,0
1720000,Olyras,Mechanitis,61.3374,0.594007,-0.111347,0.0109969,0
1720000,Lyela,Narope,33.1188,0.520644,-0.0634126,0.000746462,0
1740000,Libythea,Olyras,0,0.169724,-0.0200665,0.000158417,0
1740000,Olyras,Hyposcada,63.2547,0.556104,-0.115665,0.00908742,0
1740000,Lyela,Narope,27.807,0.550567,-0.0565058,0.00207661,0
1760000,Libythea,Olyras,0,0.236435,-0.0247676,0.000957629,0
1760000,Olyras,Mechanitis,61.0029,0.58198,-0.0887149,0.0426258,0
1760000,Lyela,Steroma,40.7408,0.318467,-0.0595218,0.00177573,0
1780000,Libythea,Olyras,0,0.151731,-0.0174684,0.00215358,0
1780000,Hyposcada,Epityches,68.0837,0.883802,-0.126643,0.0673142,0
1780000,Lyela,Narope,32.5308,0.492344,-0.0594418,7.91278e-05,0
1800000,Libythea,Olyras,0,0.142287,-0.0163972,0.00209175,0
1800000,Olyras,Mechanitis,59.274,0.672719,-0.117868,0.00260472,0
1800000,Lyela,Narope,29.6283,0.571323,-0.0610015,0.00513962,0
1820000,Libythea,Olyras,0,0.247487,-0.0255843,0.00696605,0
1820000,Olyras,Mechanitis,61.41,0.372208,-0.0966416,0.00285595,0
1820000,Lyela,Narope,28.8987,0.545091,-0.0582847,0.00657431,0
1840000,Libythea,Olyras,0,0.154718,-0.0199474,0.00242372,0
1840000,Olyras,Mechanitis,57.8481,0.786893,-0.114043,0.00637271,0
1840000,Lyela,Narope,33.2308,0.523676,-0.0649098,0.00024093,0
1860000,Libythea,Olyras,0,0.229951,-0.0248292,0.000276605,0
1860000,Olyras,Mechanitis,58.6679,0.678307,-0.0994023,0.0172658,0
1860000,Lyela,Narope,31.0448,0.596553,-0.0589255,0.00537659,0
1880000,Libythea,Olyras,0,0.311619,-0.028672,0.00709787,0
1880000,Olyras,Mechanitis,59.2104,0.357686,-0.0827308,0.0012247,0
1880000,Calinaga,NA,61.5929,0.000882525,-0.148913,0.164911,0
1880000,Agatasa,NA,88.7854,0.0481781,-0.0170587,0.398716,0
1880000,Lyela,Narope,33.2766,0.490287,-0.0598551,0.00239299,0
1900000,Libythea,Olyras,0,0.21512,-0.023913,0.000530108,0
1900000,Olyras,Hyposcada,62.9583,0.645203,-0.11727,0.0287701,0
1900000,Mechanitis,NA,92.6892,0.358696,0.0923906,0.173642,0
1900000,Lyela,Narope,32.8467,0.405888,-0.0556967,0.000946701,0
1920000,Libythea,Olyras,0,0.16732,-0.018887,0.000876863,0
1920000,Olyras,Mechanitis,60.0628,0.578322,-0.100919,0.00352667,0
1920000,Lyela,Narope,31.5454,0.401906,-0.0508614,0.0157465,0
1940000,Libythea,Olyras,0,0.182113,-0.0228422,0.00122618,0
1940000,Olyras,Thyridia,51.7095,0.374601,-0.0706794,0.00149162,0
1940000,Dryadula,NA,77.829,0.274614,0.0134419,0.553648,0
1940000,Lyela,Narope,30.2863,0.489234,-0.0551596,0.00653488,0
1960000,Libythea,Olyras,0,0.216008,-0.0222708,0.00329275,0
1960000,Olyras,Hyposcada,62.5572,0.614226,-0.114994,0.0197712,0
1960000,Lyela,Narope,32.2902,0.360075,-0.0512474,0.000294865,0
1980000,Libythea,Olyras,0,0.176809,-0.0224291,0.000890401,0
1980000,Olyras,Mechanitis,60.0867,0.559399,-0.120632,0.0113163,0
1980000,Lyela,Narope,31.0816,0.534103,-0.0579601,0.00263922,0
2000000,Libythea,Olyras,0,0.325139,-0.0297836,0.00268911,0
2000000,Olyras,Mechanitis,61.4422,0.603499,-0.0976347,0.0573877,0
2000000,Moneuptychia,Ypthimomorpha,46.6995,0.401222,-0.07484,0.000430015,0
2020000,Libythea,Olyras,0,0.248689,-0.0267708,0.00160978,0
2020000,Olyras,Hyposcada,62.775,0.499007,-0.0930888,0.0200126,0
2020000,Lyela,Steroma,33.9948,0.607244,-0.06164,0.0127053,0
2040000,Libythea,Olyras,0,0.239605,-0.0252794,0.00309603,0
2040000,Olyras,Hyposcada,63.2131,0.442984,-0.111737,0.0146352,0
2040000,Lyela,Steroma,42.1306,0.586007,-0.0828954,0.0036801,0
2060000,Libythea,Olyras,0,0.205981,-0.0231127,0.00401484,0
2060000,Olyras,Mechanitis,61.3427,0.344473,-0.082498,0.0219169,0
2060000,Lyela,Steroma,42.2734,0.415632,-0.0656043,0.00861371,0
2080000,Libythea,Olyras,0,0.221196,-0.0224862,0.000257336,0
2080000,Olyras,Mechanitis,58.821,0.641374,-0.103544,0.0144382,0
2080000,Lyela,Steroma,40.4789,0.497291,-0.0709706,0.0042613,0
2100000,Libythea,Olyras,0,0.156937,-0.0188852,0.00570233,0
2100000,Hyposcada,Epityches,67.9804,0.76944,-0.135651,0.0162331,0
2100000,Lyela,Narope,28.2963,0.389603,-0.0476877,0.00122987,0
2120000,Libythea,Olyras,0,0.242163,-0.0268858,0.00169649,0
2120000,Olyras,Mechanitis,60.5607,0.731035,-0.101807,0.0541434,0
2120000,Lyela,Steroma,41.3215,0.704753,-0.0795953,0.0091393,0
2140000,Libythea,Olyras,0,0.301359,-0.0309379,0.00170103,0
2140000,Olyras,Mechanitis,58.6566,0.275557,-0.0718397,0.00413477,0
2140000,Lyela,Narope,26.891,0.610533,-0.0614485,8.08755e-05,0
2160000,Libythea,Olyras,0,0.219396,-0.0251599,0.000117784,0
2160000,Libythea,NA,83.564,0.0967866,-0.369208,0.519219,0
2160000,Olyras,Mechanitis,59.5267,0.298154,-0.0837783,0.00298742,0
2160000,Lyela,Steroma,42.0559,0.431238,-0.0707693,0.00196236,0
2180000,Libythea,Olyras,0,0.254441,-0.0251306,0.00535029,0
2180000,Olyras,Mechanitis,61.4396,0.625483,-0.105855,0.00208106,0
2180000,Lyela,Steroma,40.7114,0.485062,-0.0673204,0.0122309,0
2200000,Libythea,Olyras,0,0.232282,-0.024748,0.00568959,0
2200000,Olyras,Mechanitis,61.4214,0.537352,-0.0921968,0.0374635,0
2200000,Lyela,Steroma,38.5164,0.612127,-0.0780555,0.000400112,0
2220000,Libythea,Olyras,0,0.266174,-0.0259697,0.00666189,0
2220000,Libythea,NA,71.7668,0.0882096,-0.0152302,0.321055,0
2220000,Hyposcada,Epityches,68.167,0.165859,-0.0753126,0.0017316,0
2220000,Eretris,NA,89.3376,0.295217,0.0321926,0.627237,0
2220000,Lyela,Steroma,40.4026,0.363923,-0.0599929,0.00141665,0
2240000,Libythea,Olyras,0,0.167319,-0.019362,0.00155828,0
2240000,Hyposcada,Epityches,67.8739,0.763183,-0.168355,0.0111785,0
2240000,Lyela,Narope,33.5772,0.504653,-0.0621082,0.0055772,0
2260000,Libythea,Olyras,0,0.178993,-0.0188834,0.000953,0
2260000,Olyras,Hyposcada,62.3324,0.394028,-0.0999445,0.00114599,0
2260000,Amnosia,NA,83.1957,0.102481,-0.0137303,0.319975,0
2260000,Moneuptychia,Taydebis,58.8596,0.419805,-0.10193,0.0133557,0
2260000,Lyela,Narope,30.8259,0.318043,-0.0494545,0.00192958,0
2280000,Libythea,Olyras,0,0.24271,-0.0263244,0.000620659,0
2280000,Olyras,Mechanitis,60.9384,0.326106,-0.0780649,0.012334,0
2280000,Lyela,Narope,33.2983,0.467258,-0.0580047,0.000547223,0
2300000,Libythea,Olyras,0,0.175568,-0.0218749,0.00461026,0
2300000,Olyras,Hyposcada,63.1185,0.539153,-0.12965,0.00392844,0
2300000,Lyela,Narope,33.5849,0.449562,-0.0603458,0.00114272,0
2320000,Libythea,Olyras,0,0.185812,-0.0222135,0.00220838,0
2320000,Olyras,Thyridia,56.2228,0.309626,-0.0617043,0.026376,0
2320000,Lyela,Steroma,39.4813,0.333099,-0.056015,0.000693986,0
2340000,Libythea,Olyras,0,0.225068,-0.0242101,0.00176536,0
2340000,Hyposcada,Epityches,69.1744,0.436422,-0.156044,0.00677726,0
2340000,Lyela,Narope,33.3798,0.368199,-0.053002,0.00585703,0
2360000,Libythea,Olyras,0,0.229025,-0.0246709,0.00184295,0
2360000,Olyras,Mechanitis,60.7647,0.610741,-0.096449,0.038069,0
